time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
0,2000-08-18 10:02,101512,101512,0,90743,60,10709,10,15161,6.6956005,13,15,3.8227205,10,3.6221037,3296,29775,111.55552,2,1853,91730,3,1.106639,66,0,0,428,517,402,480,90106,11340,16,10185,5,0,12,0,0,1155,5,11,9134,1051,12,0.018598786,10303,687,227,58,15,22,7,3,
1,2000-08-18 10:03,95857,95857,0,82812,401,12644,11,25184,3.8062658,11,21,3.9566646,9,3.800265,3832,29284,95.063156,3,1446,88313,3,1.0854235,50,0,0,374,448,296,418,86732,9075,14,8834,6,0,21,0,0,241,4,10,7895,939,9,0.017839072,8144,569,157,111,48,42,5,5,
2,2000-08-18 10:04,103337,103337,0,87301,353,15683,11,31654,3.2645795,11,17,3.9650366,9,3.7992973,4786,22401,82.03259,3,1824,96253,3,1.0735977,40,0,0,742,1278,683,1197,93919,9378,22,9123,0,0,9,0,0,255,1,21,6649,2474,15,0.043033957,6925,1474,542,210,131,64,11,28,
3,2000-08-18 10:05,103712,103712,0,83459,768,19485,11,37411,2.7722328,10,17,3.9940605,10,3.8341079,4551,22157,87.37486,2,1737,98133,3,1.0568514,52,0,0,710,386,710,354,95039,8621,25,8296,0,0,11,0,0,325,22,3,6943,1353,12,0.025117634,7291,668,349,240,36,37,3,16,
4,2000-08-18 10:06,100915,100915,0,83490,175,17250,11,34285,2.9434154,9,16,4.202428,9,3.961849,4186,26488,95.51123,3,1488,95800,3,1.0533925,68,0,0,603,676,482,531,90233,10614,11,10479,0,0,4,0,0,135,0,11,8967,1512,11,0.032185502,9112,785,198,284,126,70,20,9,16
5,2000-08-18 10:07,70599,70599,0,55310,27,15262,11,29015,2.4331896,8,17,4.3888583,9,4.1043925,3856,15907,75.14678,2,728,69585,2,1.0145721,275,0,0,157,428,200,280,65195,5129,2,5052,1,0,4,0,0,77,1,1,4392,660,10,0.02441961,4471,269,108,80,103,53,23,16,4
6,2000-08-18 10:08,108766,108766,0,88239,131,20396,11,37700,2.8850398,10,15,4.101659,9,3.8699133,4837,27011,87.019844,2,1195,104901,3,1.0368443,9,0,0,186,210,191,213,100265,8492,2,8375,0,0,2,0,0,117,0,2,7921,454,12,0.0069415714,8039,270,102,73,4,2,2,,
7,2000-08-18 10:09,116947,116947,0,100928,36,15983,11,40781,2.8676834,10,19,3.9400582,9,3.7728887,4605,30691,95.81499,2,1621,113466,3,1.0306787,8,0,0,234,181,227,177,108324,8615,5,8502,0,0,6,0,0,113,1,4,8012,490,12,0.006618383,8127,328,120,21,13,2,1,,
8,2000-08-18 10:10,100044,100044,0,87351,29,12664,11,32749,3.0548718,9,19,4.077246,9,3.8630502,5159,28423,74.91277,2,2011,98455,3,1.0161394,18,0,0,557,593,465,609,91649,8377,2,8286,0,0,3,0,0,91,0,2,6901,1385,12,0.025048979,6992,807,380,97,34,26,4,11,1
9,2000-08-18 10:11,83630,83212,418,72918,81,10213,11,27865,3.001256,9,17,4.117759,9,3.894847,4798,22402,67.54856,2,2304,82324,3,1.0158641,70,178,13,735,613,624,526,74589,8790,37,8267,0,3,16,7,3,523,18,19,6716,1551,12,0.042580415,7273,763,297,189,84,126,51,27,1
10,2000-08-18 10:12,18288,17785,503,15500,2,2283,11,12304,1.4863459,9,22,4.4449816,11,4.2224345,3110,5043,24.146624,2,387,18210,2,1.0042833,100,276,6,184,224,163,202,16329,1569,84,1112,1,5,24,16,14,457,34,50,632,480,10,0.07053806,1135,171,147,88,36,49,21,4,1
11,2000-08-18 10:13,23827,23560,267,20226,2,3332,11,16806,1.4177674,21,16,4.616723,10,4.4652376,3943,14405,26.680447,2,555,23217,6,1.0262738,532,211,14,212,265,203,241,21324,1754,288,652,7,6,127,112,6,1102,83,205,132,520,8,0.05351072,1469,154,226,132,27,20,6,3,1
12,2000-08-18 10:14,2557,2326,231,2181,0,145,11,688,3.7165697,17,12,3.8022356,11,3.6792777,242,1161,35.363636,1,15,2116,4,1.208412,542,132,10,402,255,392,251,847,1030,348,877,2,5,128,88,6,153,81,267,191,686,10,0.64098555,543,370,186,252,13,6,3,3,
13,2000-08-18 10:15,3588,2132,1456,1990,0,142,11,459,7.816993,20,10,4.043621,10,3.9263601,144,936,58.131943,1,8,2538,5,1.4137115,238,1156,115,341,253,313,247,875,1276,121,998,10,42,130,396,43,278,24,97,182,816,7,0.5005574,515,280,340,234,12,5,9,1,
14,2000-08-18 10:16,3689,2842,847,1831,0,1011,11,570,6.47193,18,12,4.721675,10,4.606263,148,1513,88.452705,1,2,2778,4,1.3279338,465,556,166,550,514,527,478,949,1694,451,1201,50,23,258,187,25,493,228,223,176,1025,8,0.822174,969,225,387,367,147,5,3,34,8
15,2000-08-18 10:17,4386,3348,1038,1990,0,1358,11,538,8.152416,19,11,6.015233,10,5.565711,166,1904,112.25301,1,3,3024,4,1.4503968,751,922,143,908,646,837,422,5,2592,751,1861,83,115,659,709,116,731,248,503,329,1532,8,1.2840858,1402,434,555,386,135,282,74,64,11
16,2000-08-18 10:18,3960,3213,747,1666,0,1547,11,522,7.586207,20,10,5.326486,10,4.961718,179,1435,89.061455,1,4,2795,4,1.4168158,802,680,174,618,1010,540,967,20,2391,800,1907,82,62,319,482,67,484,274,526,343,1564,7,1.4204545,1204,510,390,555,188,208,74,62,
